枠名,楽曲名,歌唱順,配信日,枠URL,コラボ相手様,原曲Artist,作詞,作曲,リリース日
【 #初配信 】自称怖くない幽霊の初配信【深影 / RK Music】#深影初配信,ラプンツェル,1,2025-05-10,https://www.youtube.com/live/mFRPu8Ew_is?si=APMMFtbpDcegTgwn&t=125,なし,n-buna,n-buna,n-buna,2016/7/6
【 #初配信 】自称怖くない幽霊の初配信【深影 / RK Music】#深影初配信,秒針を噛む,2,2025-05-10,https://www.youtube.com/live/mFRPu8Ew_is?si=APMMFtbpDcegTgwn&t=710,なし,ずっと真夜中でいいのに。,ACA ne,ACA ne,2018/8/30
【 #初配信 】自称怖くない幽霊の初配信【深影 / RK Music】#深影初配信,Stellar Stellar,3,2025-05-10,https://www.youtube.com/live/mFRPu8Ew_is?si=APMMFtbpDcegTgwn&t=1241,なし,星街すいせい,星街すいせい,星街すいせい,2021/9/29
【 #初配信 】自称怖くない幽霊の初配信【深影 / RK Music】#深影初配信,ロストメモリー,4,2025-05-10,https://www.youtube.com/live/mFRPu8Ew_is?si=APMMFtbpDcegTgwn&t=1648,なし,深影,深影,深影,2025/4/26
【歌枠】去る満月に春を歌う【深影 / RK Music】#ghostreaming #新人vtuber #新人vsinger,春泥棒,1,2025-05-14,https://www.youtube.com/live/tK51m_JLtQE?si=lBx1cXCFn1RRi_BZ&t=206,なし,ヨルシカ,n-buna,n-buna,2021/1/9
【歌枠】去る満月に春を歌う【深影 / RK Music】#ghostreaming #新人vtuber #新人vsinger,勿忘,2,2025-05-14,https://www.youtube.com/live/tK51m_JLtQE?si=lBx1cXCFn1RRi_BZ&t=1004,なし,Awesome City Club,atagi/PORIN,atagi/永野亮,2021/1/27
【歌枠】去る満月に春を歌う【深影 / RK Music】#ghostreaming #新人vtuber #新人vsinger,晴る,3,2025-05-14,https://www.youtube.com/live/tK51m_JLtQE?si=lBx1cXCFn1RRi_BZ&t=1254,なし,ヨルシカ,n-buna,n-buna,2024/1/5
【歌枠】去る満月に春を歌う【深影 / RK Music】#ghostreaming #新人vtuber #新人vsinger,春の歌,4,2025-05-14,https://www.youtube.com/live/tK51m_JLtQE?si=lBx1cXCFn1RRi_BZ&t=2104,なし,スピッツ,草野正宗,草野正宗,2005/4/20
【歌枠】去る満月に春を歌う【深影 / RK Music】#ghostreaming #新人vtuber #新人vsinger,春ひさぎ,5,2025-05-14,https://www.youtube.com/live/tK51m_JLtQE?si=lBx1cXCFn1RRi_BZ&t=2357,なし,ヨルシカ,n-buna,n-buna,2020/6/3
【歌枠】去る満月に春を歌う【深影 / RK Music】#ghostreaming #新人vtuber #新人vsinger,怪獣の花唄,6,2025-05-14,https://www.youtube.com/live/tK51m_JLtQE?si=lBx1cXCFn1RRi_BZ&t=2579,なし,Vaundy,Vaundy,Vaundy,2020/5/11
【歌枠】去る満月に春を歌う【深影 / RK Music】#ghostreaming #新人vtuber #新人vsinger,ラプンツェル,7,2025-05-14,https://www.youtube.com/live/tK51m_JLtQE?si=lBx1cXCFn1RRi_BZ&t=3769,なし,n-buna,n-buna,n-buna,2016/7/6
【歌枠】去る満月に春を歌う【深影 / RK Music】#ghostreaming #新人vtuber #新人vsinger,ハナミズキ,8,2025-05-14,https://www.youtube.com/live/tK51m_JLtQE?si=lBx1cXCFn1RRi_BZ&t=4055,なし,一青窈,一青窈,マシコタツロウ,2004/2/11
